GEO.id,GEO.id2,GEO.display-label,NAICS.id,NAICS.display-label,YEAR.id,ESTAB,EMP,PAYQ1T,PAYANT
Geographic identifier code,Id2,Geographic area name,2002 NAICS code,Meaning of 2002 NAICS code,Year,Number of establishments,Number of employees,"First-quarter payroll ($1,000)","Annual payroll ($1,000)"
8610000US63001,63001,"ZIP 63001 (Allenton, MO)",00,Total for all sectors,2004,9,30,114,537
8610000US63005,63005,"ZIP 63005 (Chesterfield, MO)",00,Total for all sectors,2004,845,15795,137500,607047
8610000US63006,63006,"ZIP 63006 (Chesterfield, MO)",00,Total for all sectors,2004,35,241,2304,10251
8610000US63010,63010,"ZIP 63010 (Arnold, MO)",00,Total for all sectors,2004,772,10168,55018,236509
8610000US63011,63011,"ZIP 63011 (Ballwin, MO)",00,Total for all sectors,2004,1400,19678,138615,571962
8610000US63012,63012,"ZIP 63012 (Barnhart, MO)",00,Total for all sectors,2004,133,815,4314,20283
8610000US63013,63013,"ZIP 63013 (Beaufort, MO)",00,Total for all sectors,2004,35,173,869,3733
8610000US63014,63014,"ZIP 63014 (Berger, MO)",00,Total for all sectors,2004,8,51,197,777
8610000US63015,63015,"ZIP 63015 (Catawissa, MO)",00,Total for all sectors,2004,29,75,361,1771
8610000US63016,63016,"ZIP 63016 (Cedar Hill, MO)",00,Total for all sectors,2004,126,596,3313,15288
8610000US63017,63017,"ZIP 63017 (Chesterfield, MO)",00,Total for all sectors,2004,1684,34069,411696,1691155
8610000US63019,63019,"ZIP 63019 (Crystal City, MO)",00,Total for all sectors,2004,266,3191,18307,81335
8610000US63020,63020,"ZIP 63020 (De Soto, MO)",00,Total for all sectors,2004,350,2517,11836,53998
8610000US63021,63021,"ZIP 63021 (Ballwin, MO)",00,Total for all sectors,2004,814,6832,46932,209266
8610000US63022,63022,"ZIP 63022 (Ballwin, MO)",00,Total for all sectors,2004,19,142,1145,4998
8610000US63023,63023,"ZIP 63023 (Dittmer, MO)",00,Total for all sectors,2004,54,199,1183,5431
8610000US63024,63024,"ZIP 63024 (Ballwin, MO)",00,Total for all sectors,2004,5,14,38,128
8610000US63025,63025,"ZIP 63025 (Eureka, MO)",00,Total for all sectors,2004,365,4816,27680,127080
8610000US63026,63026,"ZIP 63026 (Fenton, MO)",00,Total for all sectors,2004,1328,31244,301518,1314305
8610000US63028,63028,"ZIP 63028 (Festus, MO)",00,Total for all sectors,2004,569,6176,36802,156485
8610000US63030,63030,"ZIP 63030 (Fletcher, MO)",00,Total for all sectors,2004,4,a,D,D
