GEO.id,GEO.id2,GEO.display-label,NAICS.id,NAICS.display-label,YEAR.id,YEAR.display-label,ESTAB,EMP,EMP_N,PAYQTR1,PAYQTR1_N,PAYANN,PAYANN_N
Geographic identifier code,Id2,Geographic area name,2002 NAICS code,Meaning of 2002 NAICS code,Year,Meaning of Year,Number of establishments,Number of employees,Noise range for number of employees (%),"First-quarter payroll ($1,000)",Noise range for first-quarter payroll (%),"Annual payroll ($1,000)",Noise range for annual payroll (%)
8610000US63001,63001,"ZIP 63001 (Allenton, MO)",00,Total for all sectors,2007,Reference year 2007,9,b,D,D,D,D,D
8610000US63005,63005,"ZIP 63005 (Chesterfield, MO)",00,Total for all sectors,2007,Reference year 2007,1027,19639,G,184177,G,782738,G
8610000US63006,63006,"ZIP 63006 (Chesterfield, MO)",00,Total for all sectors,2007,Reference year 2007,18,120,H,920,H,4352,H
8610000US63010,63010,"ZIP 63010 (Arnold, MO)",00,Total for all sectors,2007,Reference year 2007,817,10572,G,67652,G,283360,G
8610000US63011,63011,"ZIP 63011 (Ballwin, MO)",00,Total for all sectors,2007,Reference year 2007,1386,17960,G,137231,G,571702,G
8610000US63012,63012,"ZIP 63012 (Barnhart, MO)",00,Total for all sectors,2007,Reference year 2007,134,902,G,5929,G,25767,G
8610000US63013,63013,"ZIP 63013 (Beaufort, MO)",00,Total for all sectors,2007,Reference year 2007,36,166,G,1104,G,5356,G
8610000US63014,63014,"ZIP 63014 (Berger, MO)",00,Total for all sectors,2007,Reference year 2007,7,b,D,D,D,D,D
8610000US63015,63015,"ZIP 63015 (Catawissa, MO)",00,Total for all sectors,2007,Reference year 2007,33,119,H,617,H,2787,H
8610000US63016,63016,"ZIP 63016 (Cedar Hill, MO)",00,Total for all sectors,2007,Reference year 2007,119,608,G,3714,G,17162,G
8610000US63017,63017,"ZIP 63017 (Chesterfield, MO)",00,Total for all sectors,2007,Reference year 2007,1769,35199,G,587018,G,2085977,G
8610000US63019,63019,"ZIP 63019 (Crystal City, MO)",00,Total for all sectors,2007,Reference year 2007,253,3016,H,23507,H,97473,H
8610000US63020,63020,"ZIP 63020 (De Soto, MO)",00,Total for all sectors,2007,Reference year 2007,338,2708,G,13874,G,59075,G
8610000US63021,63021,"ZIP 63021 (Ballwin, MO)",00,Total for all sectors,2007,Reference year 2007,820,7241,G,52611,G,223670,G
8610000US63022,63022,"ZIP 63022 (Ballwin, MO)",00,Total for all sectors,2007,Reference year 2007,19,118,G,646,G,2926,G
8610000US63023,63023,"ZIP 63023 (Dittmer, MO)",00,Total for all sectors,2007,Reference year 2007,66,241,G,1386,G,6551,G
8610000US63024,63024,"ZIP 63024 (Ballwin, MO)",00,Total for all sectors,2007,Reference year 2007,2,b,D,D,D,D,D
8610000US63025,63025,"ZIP 63025 (Eureka, MO)",00,Total for all sectors,2007,Reference year 2007,398,5254,G,31606,G,143870,G
8610000US63026,63026,"ZIP 63026 (Fenton, MO)",00,Total for all sectors,2007,Reference year 2007,1399,32504,G,349577,H,1479058,H
8610000US63028,63028,"ZIP 63028 (Festus, MO)",00,Total for all sectors,2007,Reference year 2007,632,6746,G,45097,G,192308,G
8610000US63030,63030,"ZIP 63030 (Fletcher, MO)",00,Total for all sectors,2007,Reference year 2007,2,a,D,D,D,D,D
8610000US63031,63031,"ZIP 63031 (Florissant, MO)",00,Total for all sectors,2007,Reference year 2007,727,7991,G,46439,G,196297,G
8610000US63032,63032,"ZIP 63032 (Florissant, MO)",00,Total for all sectors,2007,Reference year 2007,7,25,G,74,G,389,G
8610000US63033,63033,"ZIP 63033 (Florissant, MO)",00,Total for all sectors,2007,Reference year 2007,662,8691,G,41527,G,174437,G
8610000US63034,63034,"ZIP 63034 (Florissant, MO)",00,Total for all sectors,2007,Reference year 2007,234,2121,H,10712,H,46737,H
8610000US63036,63036,"ZIP 63036 (French Village, MO)",00,Total for all sectors,2007,Reference year 2007,9,35,H,171,G,827,G
8610000US63037,63037,"ZIP 63037 (Gerald, MO)",00,Total for all sectors,2007,Reference year 2007,58,743,G,4803,G,19008,G
8610000US63038,63038,"ZIP 63038 (Glencoe, MO)",00,Total for all sectors,2007,Reference year 2007,162,887,G,6533,G,31996,G
8610000US63039,63039,"ZIP 63039 (Gray Summit, MO)",00,Total for all sectors,2007,Reference year 2007,22,f,D,D,D,D,D
8610000US63040,63040,"ZIP 63040 (Grover, MO)",00,Total for all sectors,2007,Reference year 2007,188,1615,G,10049,G,45960,G
8610000US63041,63041,"ZIP 63041 (Grubville, MO)",00,Total for all sectors,2007,Reference year 2007,7,27,G,119,G,586,G
8610000US63042,63042,"ZIP 63042 (Hazelwood, MO)",00,Total for all sectors,2007,Reference year 2007,712,20063,G,223625,G,885709,G
8610000US63043,63043,"ZIP 63043 (Maryland Heights, MO)",00,Total for all sectors,2007,Reference year 2007,895,30118,G,360902,G,1520017,G
8610000US63044,63044,"ZIP 63044 (Bridgeton, MO)",00,Total for all sectors,2007,Reference year 2007,883,31534,G,347560,G,1511592,G
8610000US63045,63045,"ZIP 63045 (Earth City, MO)",00,Total for all sectors,2007,Reference year 2007,347,15998,G,211439,G,882018,G
8610000US63047,63047,"ZIP 63047 (Hematite, MO)",00,Total for all sectors,2007,Reference year 2007,1,b,D,D,D,D,D
8610000US63048,63048,"ZIP 63048 (Herculaneum, MO)",00,Total for all sectors,2007,Reference year 2007,77,1511,G,13430,H,56703,H
8610000US63049,63049,"ZIP 63049 (High Ridge, MO)",00,Total for all sectors,2007,Reference year 2007,353,2913,G,19542,G,87297,G
8610000US63050,63050,"ZIP 63050 (Hillsboro, MO)",00,Total for all sectors,2007,Reference year 2007,300,1849,G,9337,G,41291,G
8610000US63051,63051,"ZIP 63051 (House Springs, MO)",00,Total for all sectors,2007,Reference year 2007,226,1743,G,10922,G,45793,G
8610000US63052,63052,"ZIP 63052 (Imperial, MO)",00,Total for all sectors,2007,Reference year 2007,347,2340,G,15323,G,65869,G
8610000US63053,63053,"ZIP 63053 (Kimmswick, MO)",00,Total for all sectors,2007,Reference year 2007,10,c,D,D,D,D,D
8610000US63055,63055,"ZIP 63055 (Labadie, MO)",00,Total for all sectors,2007,Reference year 2007,65,741,H,9908,H,40038,H
8610000US63056,63056,"ZIP 63056 (Leslie, MO)",00,Total for all sectors,2007,Reference year 2007,20,102,G,552,G,2522,G
8610000US63057,63057,"ZIP 63057 (Liguori, MO)",00,Total for all sectors,2007,Reference year 2007,5,c,D,D,D,D,D
8610000US63060,63060,"ZIP 63060 (Lonedell, MO)",00,Total for all sectors,2007,Reference year 2007,31,c,S,840,H,3807,H
8610000US63061,63061,"ZIP 63061 (Luebbering, MO)",00,Total for all sectors,2007,Reference year 2007,2,a,D,D,D,D,D
8610000US63065,63065,"ZIP 63065 (Mapaville, MO)",00,Total for all sectors,2007,Reference year 2007,10,233,H,1098,H,4317,H
8610000US63066,63066,"ZIP 63066 (Morse Mill, MO)",00,Total for all sectors,2007,Reference year 2007,2,a,D,D,D,D,D
8610000US63068,63068,"ZIP 63068 (New Haven, MO)",00,Total for all sectors,2007,Reference year 2007,131,1516,G,11569,G,42182,G
8610000US63069,63069,"ZIP 63069 (Pacific, MO)",00,Total for all sectors,2007,Reference year 2007,392,4707,G,38892,G,165898,G
8610000US63070,63070,"ZIP 63070 (Pevely, MO)",00,Total for all sectors,2007,Reference year 2007,140,1726,G,16593,G,74835,G
8610000US63071,63071,"ZIP 63071 (Richwoods, MO)",00,Total for all sectors,2007,Reference year 2007,9,52,G,458,G,1883,G
8610000US63072,63072,"ZIP 63072 (Robertsville, MO)",00,Total for all sectors,2007,Reference year 2007,33,89,G,504,G,2364,G
8610000US63073,63073,"ZIP 63073 (Saint Albans, MO)",00,Total for all sectors,2007,Reference year 2007,31,322,H,2426,G,11884,H
8610000US63074,63074,"ZIP 63074 (Saint Ann, MO)",00,Total for all sectors,2007,Reference year 2007,333,4367,G,19801,G,88722,G
8610000US63077,63077,"ZIP 63077 (Saint Clair, MO)",00,Total for all sectors,2007,Reference year 2007,260,2849,G,19985,G,83295,G
8610000US63079,63079,"ZIP 63079 (Stanton, MO)",00,Total for all sectors,2007,Reference year 2007,8,11,G,44,G,192,G
8610000US63080,63080,"ZIP 63080 (Sullivan, MO)",00,Total for all sectors,2007,Reference year 2007,353,5089,G,32482,G,138073,G
8610000US63084,63084,"ZIP 63084 (Union, MO)",00,Total for all sectors,2007,Reference year 2007,483,5992,G,39332,G,164913,G
8610000US63087,63087,"ZIP 63087 (Valles Mines, MO)",00,Total for all sectors,2007,Reference year 2007,5,7,G,28,G,163,G
8610000US63088,63088,"ZIP 63088 (Valley Park, MO)",00,Total for all sectors,2007,Reference year 2007,254,3215,G,21726,G,95326,G
8610000US63089,63089,"ZIP 63089 (Villa Ridge, MO)",00,Total for all sectors,2007,Reference year 2007,92,598,G,3842,H,17844,H
8610000US63090,63090,"ZIP 63090 (Washington, MO)",00,Total for all sectors,2007,Reference year 2007,846,12778,G,89057,G,380847,G
8610000US63091,63091,"ZIP 63091 (Rosebud, MO)",00,Total for all sectors,2007,Reference year 2007,30,149,H,662,G,2837,G
8610000US63099,63099,"ZIP 63099 (Fenton, MO)",00,Total for all sectors,2007,Reference year 2007,9,h,D,D,D,D,D
8610000US63101,63101,"ZIP 63101 (Saint Louis, MO)",00,Total for all sectors,2007,Reference year 2007,643,22893,G,435330,G,1587801,G
8610000US63102,63102,"ZIP 63102 (Saint Louis, MO)",00,Total for all sectors,2007,Reference year 2007,544,19102,G,304966,G,1156550,G
8610000US63103,63103,"ZIP 63103 (Saint Louis, MO)",00,Total for all sectors,2007,Reference year 2007,744,32671,G,467597,G,1598481,G
8610000US63104,63104,"ZIP 63104 (Saint Louis, MO)",00,Total for all sectors,2007,Reference year 2007,567,14993,G,155673,G,640582,G
8610000US63105,63105,"ZIP 63105 (Saint Louis, MO)",00,Total for all sectors,2007,Reference year 2007,1606,28030,G,528083,G,2060733,G
8610000US63106,63106,"ZIP 63106 (Saint Louis, MO)",00,Total for all sectors,2007,Reference year 2007,202,5434,H,50138,H,197169,G
8610000US63107,63107,"ZIP 63107 (Saint Louis, MO)",00,Total for all sectors,2007,Reference year 2007,167,1481,G,8791,G,43427,G
