GEO.id,GEO.id2,GEO.display-label,NAICS.id,NAICS.display-label,YEAR.id,ESTAB,EMP,EMP_N,PAYQTR1,PAYQTR1_N,PAYANN,PAYANN_N
Geographic identifier code,Id2,Geographic area name,2007 NAICS code,Meaning of 2007 NAICS code,Year,Number of establishments,Paid employees for pay period including March 12 (number),Noise range for paid employees for pay period including March 12 (%),"First-quarter payroll ($1,000)",Noise range for first-quarter payroll (%),"Annual payroll ($1,000)",Noise range for annual payroll (%)
8610000US63001,63001,"ZIP 63001 (Allenton, MO)",00,Total for all sectors,2009,5,a,S,S,S,72,G
8610000US63005,63005,"ZIP 63005 (Chesterfield, MO)",00,Total for all sectors,2009,1006,17620,G,153327,G,642985,G
8610000US63006,63006,"ZIP 63006 (Chesterfield, MO)",00,Total for all sectors,2009,15,77,H,S,S,3760,H
8610000US63010,63010,"ZIP 63010 (Arnold, MO)",00,Total for all sectors,2009,811,11410,G,69984,G,297126,G
8610000US63011,63011,"ZIP 63011 (Ballwin, MO)",00,Total for all sectors,2009,1344,16086,G,131308,G,537097,G
8610000US63012,63012,"ZIP 63012 (Barnhart, MO)",00,Total for all sectors,2009,124,824,G,5884,G,24754,G
8610000US63013,63013,"ZIP 63013 (Beaufort, MO)",00,Total for all sectors,2009,35,161,G,1134,G,4139,G
8610000US63014,63014,"ZIP 63014 (Berger, MO)",00,Total for all sectors,2009,6,24,G,116,G,509,G
8610000US63015,63015,"ZIP 63015 (Catawissa, MO)",00,Total for all sectors,2009,29,111,H,531,G,2533,G
8610000US63016,63016,"ZIP 63016 (Cedar Hill, MO)",00,Total for all sectors,2009,105,503,G,3229,G,14436,G
8610000US63017,63017,"ZIP 63017 (Chesterfield, MO)",00,Total for all sectors,2009,1701,38010,G,608657,G,2288777,G
8610000US63019,63019,"ZIP 63019 (Crystal City, MO)",00,Total for all sectors,2009,275,3227,H,25578,H,104138,H
8610000US63020,63020,"ZIP 63020 (De Soto, MO)",00,Total for all sectors,2009,322,2523,G,13438,G,57945,G
8610000US63021,63021,"ZIP 63021 (Ballwin, MO)",00,Total for all sectors,2009,778,6251,G,47790,G,200158,G
8610000US63022,63022,"ZIP 63022 (Ballwin, MO)",00,Total for all sectors,2009,16,129,H,612,H,2576,H
8610000US63023,63023,"ZIP 63023 (Dittmer, MO)",00,Total for all sectors,2009,51,192,G,1271,G,5743,G
8610000US63024,63024,"ZIP 63024 (Ballwin, MO)",00,Total for all sectors,2009,6,b,S,246,G,1080,G
8610000US63025,63025,"ZIP 63025 (Eureka, MO)",00,Total for all sectors,2009,388,5504,G,30343,G,134771,G
8610000US63026,63026,"ZIP 63026 (Fenton, MO)",00,Total for all sectors,2009,1353,26383,G,313091,G,1173259,G
8610000US63028,63028,"ZIP 63028 (Festus, MO)",00,Total for all sectors,2009,611,6432,G,45422,G,192990,G
8610000US63030,63030,"ZIP 63030 (Fletcher, MO)",00,Total for all sectors,2009,3,a,D,D,D,D,D
8610000US63031,63031,"ZIP 63031 (Florissant, MO)",00,Total for all sectors,2009,687,7202,G,43997,G,187449,G
8610000US63032,63032,"ZIP 63032 (Florissant, MO)",00,Total for all sectors,2009,5,11,G,35,G,149,G
8610000US63033,63033,"ZIP 63033 (Florissant, MO)",00,Total for all sectors,2009,683,8374,G,40109,G,164145,G
8610000US63034,63034,"ZIP 63034 (Florissant, MO)",00,Total for all sectors,2009,200,1901,H,11292,G,47848,G
8610000US63036,63036,"ZIP 63036 (French Village, MO)",00,Total for all sectors,2009,8,44,G,189,G,901,G
8610000US63037,63037,"ZIP 63037 (Gerald, MO)",00,Total for all sectors,2009,58,756,H,4595,H,18448,H
8610000US63038,63038,"ZIP 63038 (Glencoe, MO)",00,Total for all sectors,2009,147,751,G,5222,G,23439,G
8610000US63039,63039,"ZIP 63039 (Gray Summit, MO)",00,Total for all sectors,2009,20,f,D,D,D,D,D
8610000US63040,63040,"ZIP 63040 (Grover, MO)",00,Total for all sectors,2009,189,1862,G,11372,G,47141,G
8610000US63041,63041,"ZIP 63041 (Grubville, MO)",00,Total for all sectors,2009,4,a,D,D,D,D,D
8610000US63042,63042,"ZIP 63042 (Hazelwood, MO)",00,Total for all sectors,2009,712,18931,G,196202,G,777689,G
8610000US63043,63043,"ZIP 63043 (Maryland Heights, MO)",00,Total for all sectors,2009,849,26818,G,339540,G,1330461,G
8610000US63044,63044,"ZIP 63044 (Bridgeton, MO)",00,Total for all sectors,2009,848,25175,G,268573,G,1074615,G
8610000US63045,63045,"ZIP 63045 (Earth City, MO)",00,Total for all sectors,2009,352,16121,G,238887,G,935666,G
8610000US63047,63047,"ZIP 63047 (Hematite, MO)",00,Total for all sectors,2009,1,b,D,D,D,D,D
8610000US63048,63048,"ZIP 63048 (Herculaneum, MO)",00,Total for all sectors,2009,77,1350,G,9743,G,44360,G
8610000US63049,63049,"ZIP 63049 (High Ridge, MO)",00,Total for all sectors,2009,333,2721,G,17683,G,80271,G
8610000US63050,63050,"ZIP 63050 (Hillsboro, MO)",00,Total for all sectors,2009,276,1549,G,9205,G,39489,G
8610000US63051,63051,"ZIP 63051 (House Springs, MO)",00,Total for all sectors,2009,217,1571,G,9973,G,40440,G
8610000US63052,63052,"ZIP 63052 (Imperial, MO)",00,Total for all sectors,2009,340,2057,G,12856,G,55357,G
8610000US63053,63053,"ZIP 63053 (Kimmswick, MO)",00,Total for all sectors,2009,8,b,D,D,D,D,D
8610000US63055,63055,"ZIP 63055 (Labadie, MO)",00,Total for all sectors,2009,69,f,D,D,D,D,D
8610000US63056,63056,"ZIP 63056 (Leslie, MO)",00,Total for all sectors,2009,17,92,G,490,G,2286,G
8610000US63057,63057,"ZIP 63057 (Liguori, MO)",00,Total for all sectors,2009,5,b,D,D,D,D,D
8610000US63060,63060,"ZIP 63060 (Lonedell, MO)",00,Total for all sectors,2009,28,110,H,652,G,2509,G
8610000US63061,63061,"ZIP 63061 (Luebbering, MO)",00,Total for all sectors,2009,3,a,S,15,G,58,G
8610000US63065,63065,"ZIP 63065 (Mapaville, MO)",00,Total for all sectors,2009,10,e,S,1168,H,4707,H
8610000US63066,63066,"ZIP 63066 (Morse Mill, MO)",00,Total for all sectors,2009,2,a,D,D,D,D,D
8610000US63068,63068,"ZIP 63068 (New Haven, MO)",00,Total for all sectors,2009,129,1330,G,9082,G,37219,G
8610000US63069,63069,"ZIP 63069 (Pacific, MO)",00,Total for all sectors,2009,372,3606,G,27566,G,124081,G
8610000US63070,63070,"ZIP 63070 (Pevely, MO)",00,Total for all sectors,2009,123,1562,G,15975,G,74340,G
8610000US63071,63071,"ZIP 63071 (Richwoods, MO)",00,Total for all sectors,2009,21,84,G,585,G,2296,G
8610000US63072,63072,"ZIP 63072 (Robertsville, MO)",00,Total for all sectors,2009,33,95,G,423,G,2194,G
8610000US63073,63073,"ZIP 63073 (Saint Albans, MO)",00,Total for all sectors,2009,26,c,S,1685,H,8799,H
8610000US63074,63074,"ZIP 63074 (Saint Ann, MO)",00,Total for all sectors,2009,305,3674,G,19225,G,80301,G
8610000US63077,63077,"ZIP 63077 (Saint Clair, MO)",00,Total for all sectors,2009,236,2605,G,18834,G,76449,G
8610000US63079,63079,"ZIP 63079 (Stanton, MO)",00,Total for all sectors,2009,5,9,G,28,G,151,G
8610000US63080,63080,"ZIP 63080 (Sullivan, MO)",00,Total for all sectors,2009,359,5390,G,32956,G,139497,G
8610000US63084,63084,"ZIP 63084 (Union, MO)",00,Total for all sectors,2009,466,5381,G,38256,G,157892,G
8610000US63087,63087,"ZIP 63087 (Valles Mines, MO)",00,Total for all sectors,2009,8,a,S,S,S,101,G
8610000US63088,63088,"ZIP 63088 (Valley Park, MO)",00,Total for all sectors,2009,243,3094,G,22671,G,94381,G
8610000US63089,63089,"ZIP 63089 (Villa Ridge, MO)",00,Total for all sectors,2009,85,543,G,3423,G,15620,G
8610000US63090,63090,"ZIP 63090 (Washington, MO)",00,Total for all sectors,2009,799,11782,G,88770,G,368821,G
8610000US63091,63091,"ZIP 63091 (Rosebud, MO)",00,Total for all sectors,2009,26,130,G,622,G,2771,G
