GEO.id,GEO.id2,GEO.display-label,NAICS.id,NAICS.display-label,YEAR.id,ESTAB,EMP,PAYQTR1,PAYANN
Geographic identifier code,Id2,Geographic area name,2012 NAICS code,Meaning of 2012 NAICS code,Year,Number of establishments,Paid employees for pay period including March 12 (number),"First-quarter payroll ($1,000)","Annual payroll ($1,000)"
8610000US63005,63005,"ZIP 63005 (Chesterfield, MO)",00,Total for all sectors,2013,1143,18856,184114,786760
8610000US63006,63006,"ZIP 63006 (Chesterfield, MO)",00,Total for all sectors,2013,12,b,198,1004
8610000US63010,63010,"ZIP 63010 (Arnold, MO)",00,Total for all sectors,2013,794,11251,75664,334628
8610000US63011,63011,"ZIP 63011 (Ballwin, MO)",00,Total for all sectors,2013,1306,16638,132665,553955
8610000US63012,63012,"ZIP 63012 (Barnhart, MO)",00,Total for all sectors,2013,130,764,5452,23727
8610000US63013,63013,"ZIP 63013 (Beaufort, MO)",00,Total for all sectors,2013,35,c,727,3028
8610000US63014,63014,"ZIP 63014 (Berger, MO)",00,Total for all sectors,2013,7,a,23,188
8610000US63015,63015,"ZIP 63015 (Catawissa, MO)",00,Total for all sectors,2013,28,c,484,2491
8610000US63016,63016,"ZIP 63016 (Cedar Hill, MO)",00,Total for all sectors,2013,92,649,4436,19168
8610000US63017,63017,"ZIP 63017 (Chesterfield, MO)",00,Total for all sectors,2013,1734,45405,763245,2896036
8610000US63019,63019,"ZIP 63019 (Crystal City, MO)",00,Total for all sectors,2013,188,2994,25629,109499
8610000US63020,63020,"ZIP 63020 (De Soto, MO)",00,Total for all sectors,2013,289,2216,12514,52842
8610000US63021,63021,"ZIP 63021 (Ballwin, MO)",00,Total for all sectors,2013,754,6213,49647,219544
8610000US63022,63022,"ZIP 63022 (Ballwin, MO)",00,Total for all sectors,2013,9,21,203,1111
8610000US63023,63023,"ZIP 63023 (Dittmer, MO)",00,Total for all sectors,2013,44,c,1293,5763
8610000US63024,63024,"ZIP 63024 (Ballwin, MO)",00,Total for all sectors,2013,2,a,D,D
8610000US63025,63025,"ZIP 63025 (Eureka, MO)",00,Total for all sectors,2013,385,6134,37204,162897
8610000US63026,63026,"ZIP 63026 (Fenton, MO)",00,Total for all sectors,2013,1345,24514,271804,1130546
8610000US63028,63028,"ZIP 63028 (Festus, MO)",00,Total for all sectors,2013,662,6601,50318,220433
8610000US63030,63030,"ZIP 63030 (Fletcher, MO)",00,Total for all sectors,2013,3,a,D,D
8610000US63031,63031,"ZIP 63031 (Florissant, MO)",00,Total for all sectors,2013,668,7087,46235,200348
8610000US63032,63032,"ZIP 63032 (Florissant, MO)",00,Total for all sectors,2013,3,a,D,D
8610000US63033,63033,"ZIP 63033 (Florissant, MO)",00,Total for all sectors,2013,785,8060,42039,175412
8610000US63034,63034,"ZIP 63034 (Florissant, MO)",00,Total for all sectors,2013,206,1619,8220,34598
8610000US63036,63036,"ZIP 63036 (French Village, MO)",00,Total for all sectors,2013,13,49,251,1025
8610000US63037,63037,"ZIP 63037 (Gerald, MO)",00,Total for all sectors,2013,54,719,5479,22711
8610000US63038,63038,"ZIP 63038 (Glencoe, MO)",00,Total for all sectors,2013,153,799,6539,31801
8610000US63039,63039,"ZIP 63039 (Gray Summit, MO)",00,Total for all sectors,2013,19,f,D,D
8610000US63040,63040,"ZIP 63040 (Grover, MO)",00,Total for all sectors,2013,183,2009,13125,53832
8610000US63041,63041,"ZIP 63041 (Grubville, MO)",00,Total for all sectors,2013,6,a,S,101
8610000US63042,63042,"ZIP 63042 (Hazelwood, MO)",00,Total for all sectors,2013,796,17700,180065,766351
8610000US63043,63043,"ZIP 63043 (Maryland Heights, MO)",00,Total for all sectors,2013,828,28020,388629,1651743
8610000US63044,63044,"ZIP 63044 (Bridgeton, MO)",00,Total for all sectors,2013,805,23506,248799,1023426
8610000US63045,63045,"ZIP 63045 (Earth City, MO)",00,Total for all sectors,2013,314,14336,241109,952691
8610000US63047,63047,"ZIP 63047 (Hematite, MO)",00,Total for all sectors,2013,2,a,D,D
8610000US63048,63048,"ZIP 63048 (Herculaneum, MO)",00,Total for all sectors,2013,67,1398,11944,50683
8610000US63049,63049,"ZIP 63049 (High Ridge, MO)",00,Total for all sectors,2013,329,3037,24839,105989
8610000US63050,63050,"ZIP 63050 (Hillsboro, MO)",00,Total for all sectors,2013,267,1455,9508,41317
8610000US63051,63051,"ZIP 63051 (House Springs, MO)",00,Total for all sectors,2013,221,1344,8114,36107
8610000US63052,63052,"ZIP 63052 (Imperial, MO)",00,Total for all sectors,2013,316,1891,13485,60158
8610000US63053,63053,"ZIP 63053 (Kimmswick, MO)",00,Total for all sectors,2013,9,64,253,1279
8610000US63055,63055,"ZIP 63055 (Labadie, MO)",00,Total for all sectors,2013,63,735,S,44263
8610000US63056,63056,"ZIP 63056 (Leslie, MO)",00,Total for all sectors,2013,23,68,361,1586
